S. No.,State,District,Location,Longitude,Latitude,Year,pH,EC (µS/cm),F (mg/L),NO3 (mg/L),Fe (ppm),As (ppb),U (ppb),As (mg/L),U (mg/L),HPI,Category
3401,Kerala,Idukki,Munnar,77.0672,10.0875,2023,7.2,92,0.07,4,-,-,0.08,NaN,0.0001,0.267,safe
3402,Kerala,Idukki,Chinikuzhi,76.8833,9.9153,2023,6.8,79,0.01,3,-,-,0.12,NaN,0.0001,0.4,safe
3403,Kerala,Idukki,Kaliyar,76.7817,9.975,2023,6.9,135,0.05,16,-,-,0.04,NaN,0,0.133,safe
3404,Kerala,Idukki,Idukki,76.9778,9.8417,2023,6.95,99,0.04,5,-,-,0.03,NaN,0,0.1,safe
3405,Kerala,Idukki,Kulamavu,76.88,9.8,2023,7.5,137,0.02,24,-,-,0.07,NaN,0.0001,0.233,safe
3406,Kerala,Idukki,Molamattam,76.8753,9.7786,2023,7.08,79,0.05,7,-,-,0.11,NaN,0.0001,0.367,safe
3407,Kerala,Idukki,Erattayar,77.1047,9.7975,2023,6.95,230,0.05,40,-,-,0.09,NaN,0.0001,0.3,safe
3408,Kerala,Idukki,Kattapana,77.0875,9.7333,2023,3.79,590,0.26,91,-,-,0.07,NaN,0.0001,0.233,unsafe
3409,Kerala,Idukki,Vandanmedu,77.1569,9.7147,2023,6.81,125,0.08,19,-,-,0.03,NaN,0,0.1,safe
3410,Kerala,Idukki,Vellilamkandam,77.05,9.7083,2023,6.91,68,0.02,8,-,-,0.08,NaN,0.0001,0.267,safe
3411,Kerala,Idukki,Koilkadavu,77.17,10.24,2023,8.21,250,0.18,11,-,-,0.06,NaN,0.0001,0.2,safe
3412,Kerala,Idukki,Nedumkandam,77.1606,9.8378,2023,7.3,430,0.02,2,-,-,0.16,NaN,0.0002,0.533,safe
3413,Kerala,Idukki,Poopara,77.1542,9.9833,2023,7.42,410,0.05,25,-,-,0.09,NaN,0.0001,0.3,safe
3414,Kerala,Idukki,Chittur,76.6764,9.9103,2023,6.87,47,0.01,1,-,-,0.1,NaN,0.0001,0.333,safe
3415,Kerala,Idukki,Kumaramangalam,76.7083,9.9361,2023,7.17,77,0.01,8,-,-,0.07,NaN,0.0001,0.233,safe
3416,Kerala,Kannur,Chakkarakkal,75.475,11.8833,2023,6.6,227,0.06,13,-,-,0,NaN,0,0,safe
3417,Kerala,Kannur,Cheleri,75.425,11.9403,2023,4.17,65,0.05,14,-,-,0,NaN,0,0,unsafe
3418,Kerala,Kannur,Sreekandapuram,75.5083,12.0417,2023,6.67,247,0.02,44,-,-,0,NaN,0,0,safe
3419,Kerala,Kannur,Ulikkal,75.6653,12.0333,2023,7.05,67,0.02,7,-,-,0,NaN,0,0,safe
3420,Kerala,Kannur,Muzhakkunnu,75.6833,11.9333,2023,7.03,72,0.08,1,-,-,0,NaN,0,0,safe
3421,Kerala,Kannur,Kannur,75.3639,11.875,2023,7.17,269,0.02,32,-,-,0,NaN,0,0,safe
3422,Kerala,Kannur,Koothuparamba,75.5653,11.8269,2023,6.66,398,0.06,65,-,-,0,NaN,0,0,unsafe
3423,Kerala,Kannur,Mokeri,75.5791,11.7772,2023,4.17,205,0.08,39,-,-,0,NaN,0,0,unsafe
3424,Kerala,Kannur,Mattannur,75.5708,11.9167,2023,7.35,149,0.05,27,-,-,0,NaN,0,0,safe
3425,Kerala,Kannur,Kozhichal,75.4514,12.2889,2023,7.18,60,0.04,3,-,-,0,NaN,0,0,safe
3426,Kerala,Kannur,Payyanaur,75.2194,12.1106,2023,6.85,97,0.02,3,-,-,0,NaN,0,0,safe
3427,Kerala,Kannur,Peringome,75.4125,12.2917,2023,7.12,203,0.01,16,-,-,0,NaN,0,0,safe
3428,Kerala,Kannur,Ramanthali,75.1833,12.0667,2023,6.57,35,0,1,-,-,0,NaN,0,0,safe
3429,Kerala,Kannur,Kannavam,75.675,11.8472,2023,7.02,60,0.02,4,-,-,0,NaN,0,0,safe
3430,Kerala,Kannur,Kottiyur,75.8611,11.8611,2023,7.14,70,0.03,3,-,-,0,NaN,0,0,safe
3431,Kerala,Kannur,Alacode,75.4653,12.1944,2023,7.26,197,0.11,1,-,-,0,NaN,0,0,safe
3432,Kerala,Kannur,Chepparapadavu,75.4139,12.125,2023,7.01,86,0.02,7,-,-,0,NaN,0,0,safe
3433,Kerala,Kannur,Kanapuram,75.3083,11.9778,2023,7.95,353,0.07,6,-,-,0,NaN,0,0,safe
3434,Kerala,Kannur,Valapattanam,75.3583,11.925,2023,4.53,259,0.15,24,-,-,0,NaN,0,0,unsafe
3435,Kerala,Kannur,Dharmadam,75.4806,11.7833,2023,7.35,133,0.03,1,-,-,0,NaN,0,0,safe
3436,Kerala,Kannur,Mahe,75.5417,11.7111,2023,8.3,470,0.07,8,-,-,0,NaN,0,0,safe
3437,Kerala,Kannur,Thalasserry,75.4875,11.7486,2023,7.85,455,0.01,13,-,-,0,NaN,0,0,safe
3438,Kerala,Kannur,Taliparamba,75.3653,12.0333,2023,7.42,200,0,26,-,-,0,NaN,0,0,safe
3439,Kerala,Kasargod,Bekal,75.0389,12.4003,2023,4.27,217,0.1,41,-,-,0,NaN,0,0,unsafe
3440,Kerala,Kasargod,Kanhangad Coast,75.0778,12.3258,2023,5.03,175,0.06,33,-,-,0,NaN,0,0,unsafe
3441,Kerala,Kasargod,Odayanchal,75.2111,12.3994,2023,7.2,60,0.02,2,-,-,0,NaN,0,0,safe
3442,Kerala,Kasargod,Panathur,75.3111,12.4542,2023,7.89,221,0.14,3,-,-,0,NaN,0,0,safe
3443,Kerala,Kasargod,Pullar,75.0944,12.3569,2023,7.37,70,0.05,1,-,-,0,NaN,0,0,safe
3444,Kerala,Kasargod,Bandadka,75.2472,12.4833,2023,7.91,202,0.16,1,-,-,0,NaN,0,0,safe
3445,Kerala,Kasargod,Mulleria,75.1667,12.55,2023,5.37,117,0.02,24,-,-,0,NaN,0,0,unsafe
3446,Kerala,Kasargod,Parappa N,75.2764,12.5722,2023,7.47,75,0.06,2,-,-,0,NaN,0,0,safe
3447,Kerala,Kasargod,Poinachi,75.0583,12.4667,2023,6.94,64,0,11,-,-,0,NaN,0,0,safe
3448,Kerala,Kasargod,Povval,75.06,12.5097,2023,7.35,148,0.02,21,-,-,0,NaN,0,0,safe
3449,Kerala,Kasargod,Kasaragod-Dw,74.9875,12.4956,2023,6.24,161,0.04,16,-,-,0,NaN,0,0,unsafe
3450,Kerala,Kasargod,Anadimegar,75.0833,12.6472,2023,7.73,84,0.02,0,-,-,0,NaN,0,0,safe
3451,Kerala,Kasargod,Kumbala,74.9464,12.5889,2023,7.48,222,0.18,2,-,-,0,NaN,0,0,safe
3452,Kerala,Kasargod,Manjeshwar,74.8933,12.7242,2023,7.15,134,0.04,4,-,-,0,NaN,0,0,safe
3453,Kerala,Kasargod,Mavinkatta,75.1011,12.5561,2023,7.26,88,0.08,10,-,-,0,NaN,0,0,safe
3454,Kerala,Kasargod,Paivaligai,74.9917,12.6917,2023,7.34,154,0.04,8,-,-,0,NaN,0,0,safe
3455,Kerala,Kasargod,Perla,75.1086,12.645,2023,7.39,149,0.03,14,-,-,0,NaN,0,0,safe
3456,Kerala,Kasargod,Uppala,74.9072,12.66,2023,7.5,114,0.05,3,-,-,0,NaN,0,0,safe
3457,Kerala,Kasargod,Chayangode,75.1917,12.2917,2023,6.54,61,0.02,2,-,-,0,NaN,0,0,safe
3458,Kerala,Kasargod,Chittarikkal,75.3542,12.3167,2023,7.7,182,0.05,1,-,-,0,NaN,0,0,safe
3459,Kerala,Kasargod,Neeleswaram,75.1333,12.25,2023,7.25,174,0.05,9,-,-,0,NaN,0,0,safe
3460,Kerala,Kasargod,Thrikkarippur,75.1667,12.1472,2023,6.95,80,0.01,9,-,-,0,NaN,0,0,safe
3461,Kerala,Kollam,Achankovil,77.125,9.0833,2023,7.67,358,0.35,22,-,-,0.08,NaN,0.0001,0.267,safe
3462,Kerala,Kollam,Ariyankavu,77.1472,8.9667,2023,8.41,307,0.21,2,-,-,0.08,NaN,0.0001,0.267,safe
3463,Kerala,Kollam,Ayoor,76.8639,8.8889,2023,7.54,60,0.11,4,-,-,0,NaN,0,0,safe
3464,Kerala,Kollam,Kulathupuza,77.0556,8.9083,2023,7.54,202,0.1,17,-,-,0.04,NaN,0,0.133,safe
3465,Kerala,Kollam,Thenmala,77.0694,8.9639,2023,7.24,52,0.1,3,-,-,0,NaN,0,0,safe
3466,Kerala,Kollam,Yeroor,76.9569,8.9322,2023,7.89,429,0.11,1,-,-,0.17,NaN,0.0002,0.567,safe
3467,Kerala,Kollam,Anchalummoodu,76.6028,8.9278,2023,3.89,256,0.21,42,-,-,0.46,NaN,0.0005,1.533,unsafe
3468,Kerala,Kollam,Akkal,76.8236,8.8625,2023,8.31,117,0.15,12,-,-,0,NaN,0,0,safe
3469,Kerala,Kollam,Madathara,77.0083,8.8319,2023,7.72,137,0.04,21,-,-,0,NaN,0,0,safe
3470,Kerala,Kollam,Needakara,76.54,8.94,2023,8.25,296,0.08,11,-,-,0.94,NaN,0.0009,3.133,safe
3471,Kerala,Kollam,Vadakkumthala West,76.5361,9.0111,2023,7.95,366,0,8,-,-,0.1,NaN,0.0001,0.333,safe
3472,Kerala,Kollam,Perinad,76.6375,8.9472,2023,6.41,140,0.01,9,-,-,0,NaN,0,0,unsafe
3473,Kerala,Kollam,Paripalli,76.7611,8.8097,2023,3.95,229,0.21,46,-,-,0.48,NaN,0.0005,1.6,unsafe
3474,Kerala,Kollam,Iravipuram,76.6181,8.8556,2023,8.04,345,0,3,-,-,0.25,NaN,0.0003,0.833,safe
3475,Kerala,Kollam,Chenkulam,76.75,8.875,2023,8.07,82,0.16,7,-,-,0.03,NaN,0,0.1,safe
3476,Kerala,Kollam,Kottarakara,76.78,9,2023,7.2,138,0.12,6,-,-,0.03,NaN,0,0.1,safe
3477,Kerala,Kollam,Kudavettur,76.75,8.9403,2023,6.99,340,0.05,52,-,-,0,NaN,0,0,unsafe
3478,Kerala,Kollam,Quilon,76.583,8.89,2023,6.99,134,0.05,6,-,-,0,NaN,0,0,safe
3479,Kerala,Kollam,Vallikavu,76.5,9.0903,2023,7.67,647,0.09,2,-,-,0.47,NaN,0.0005,1.567,safe
3480,Kerala,Kollam,Pozhikara,76.6569,8.8119,2023,6.97,236,0.05,6,-,-,0,NaN,0,0,safe
3481,Kerala,Kollam,Avaneeswaram,76.8528,9.0361,2023,7.28,92,0.12,3,-,-,0.09,NaN,0.0001,0.3,safe
3482,Kerala,Kollam,Kunnada,76.8061,9.1031,2023,7.56,67,0.08,3,-,-,0,NaN,0,0,safe
3483,Kerala,Kollam,Sasthamkotta,76.6186,9.0444,2023,6.84,100,0.06,8,-,-,0,NaN,0,0,safe
3484,Kerala,Kollam,Sooranadu,76.6208,9.1,2023,6.31,106,0.05,16,-,-,0,NaN,0,0,unsafe
3485,Kerala,Kottayam,Changanacherry,76.5294,9.4453,2023,6.37,370,0.64,36,-,-,0,NaN,0,0,unsafe
3486,Kerala,Kottayam,Naranganam,76.75,9.75,2023,6,29,0.07,4,-,-,0,NaN,0,0,unsafe
3487,Kerala,Kottayam,Ettumanur,76.5722,9.6697,2023,5.92,166,0,17,-,-,0,NaN,0,0,unsafe
3488,Kerala,Kottayam,Neendur,76.505,9.6867,2023,6.11,112,0.01,15,-,-,0.03,NaN,0,0.1,unsafe
3489,Kerala,Kottayam,Pulikuttisseri,76.47,9.64,2023,8.27,360,0.2,1,-,-,0,NaN,0,0,safe
3490,Kerala,Kottayam,Aranootimangalam,76.52,9.8001,2023,5.67,53,0.24,7,-,-,0.01,NaN,0,0.033,unsafe
3491,Kerala,Kottayam,Kaduthuruthi,76.4922,9.7613,2023,6.3,72,0.08,8,-,-,0,NaN,0,0,unsafe
3492,Kerala,Kottayam,Talayolaparambu,76.4369,9.7833,2023,7.72,165,0.22,0,-,-,0.02,NaN,0,0.067,safe
3493,Kerala,Kottayam,Velloor Ii,76.45,9.83,2023,7.21,181,0.22,16,-,-,0.02,NaN,0,0.067,safe
3494,Kerala,Kottayam,Erumelly,76.8486,9.4806,2023,5.99,78,0.05,14,-,-,0,NaN,0,0,unsafe
3495,Kerala,Kottayam,Kanjirapally,76.78,9.558,2023,6.24,63,0.11,4,-,-,0,NaN,0,0,unsafe
3496,Kerala,Kottayam,Kuttikkal,76.8825,9.5678,2023,6.68,60,0.24,5,-,-,0,NaN,0,0,safe
3497,Kerala,Kottayam,Kottayam,76.5236,9.5933,2023,5.6,42,0.04,6,-,-,0,NaN,0,0,unsafe
3498,Kerala,Kottayam,Paipad,76.575,9.4278,2023,4.42,220,0.01,45,-,-,0,NaN,0,0,unsafe
3499,Kerala,Kottayam,Tottakkad,76.6055,9.5291,2023,6.82,63,0,8,-,-,0,NaN,0,0,safe
3500,Kerala,Kottayam,Pala,76.6806,9.7111,2023,6.88,280,0.16,35,-,-,0,NaN,0,0,safe
3501,Kerala,Kottayam,Kumarakom,76.4375,9.5869,2023,7.53,300,0.23,1,-,-,0.12,NaN,0.0001,0.4,safe
3502,Kerala,Kottayam,Pallom(Nattagam),76.5097,9.5306,2023,7,115,0,9,-,-,0,NaN,0,0,safe
3503,Kerala,Kottayam,Paruthumpara,76.5431,9.5278,2023,6.69,196,0.1,21,-,-,0.04,NaN,0,0.133,safe
3504,Kerala,Kottayam,Cheruthikara,76.6083,9.6042,2023,6.56,92,0,6,-,-,0,NaN,0,0,safe
3505,Kerala,Kottayam,Pallikathodu,76.6844,9.6011,2023,7.16,70,0.18,14,-,-,0,NaN,0,0,safe
3506,Kerala,Kottayam,Pambadi,76.6472,9.5625,2023,6.95,70,0.08,3,-,-,0,NaN,0,0,safe
3507,Kerala,Kottayam,Kozha,76.5667,9.7681,2023,5.92,70,0.1,11,-,-,0,NaN,0,0,unsafe
3508,Kerala,Kottayam,Chempu,76.3961,9.8103,2023,6.8,230,0.14,4,-,-,0,NaN,0,0,safe
3509,Kerala,Kottayam,Palamkadavu,76.4411,9.7925,2023,7.39,191,0.31,0,-,-,0,NaN,0,0,safe
3510,Kerala,Kottayam,Vaikom,76.3931,9.7497,2023,8.41,520,0.34,16,-,-,0.11,NaN,0.0001,0.367,safe
3511,Kerala,Kottayam,Plakkalpadi,76.7,9.5125,2023,7.08,161,0.25,15,-,-,0,NaN,0,0,safe
3512,Kerala,Kottayam,Vazhur,76.7231,9.5694,2023,6.95,63,0.08,5,-,-,0,NaN,0,0,safe
3513,Kerala,Kozhikode,Badagara,75.5848,11.5985,2023,7.18,382,0.06,40,-,-,0,NaN,0,0,safe
3514,Kerala,Kozhikode,Balusseri,75.8298,11.4468,2023,6.88,199,0.07,23,-,-,0,NaN,0,0,safe
3515,Kerala,Kozhikode,Kakkayam,75.897,11.5499,2023,7.31,64,0.06,2,-,-,0,NaN,0,0,safe
3516,Kerala,Kozhikode,Koduvalli,75.91,11.3583,2023,7.44,155,0.07,5,-,-,0,NaN,0,0,safe
3517,Kerala,Kozhikode,Pudupadi,75.9847,11.4972,2023,7.2,137,0,13,-,-,0,NaN,0,0,safe
3518,Kerala,Kozhikode,Thamarasseri,75.9406,11.4153,2023,7.85,160,0.02,5,-,-,0,NaN,0,0,safe
3519,Kerala,Kozhikode,Beypore,75.81,11.1716,2023,7.56,411,0.05,33,-,-,0,NaN,0,0,safe
3520,Kerala,Kozhikode,Chelavur,75.8827,11.299,2023,7.83,575,0.13,64,-,-,0,NaN,0,0,unsafe
3521,Kerala,Kozhikode,Elattur,75.7444,11.3375,2023,7.34,297,0,12,-,-,0,NaN,0,0,safe
3522,Kerala,Kozhikode,Kozhikode,75.7916,11.25,2023,7.6,314,0.03,18,-,-,0,NaN,0,0,safe
3523,Kerala,Kozhikode,Ramanattukara,75.8583,11.18,2023,8.3,937,0.85,26,-,-,0,NaN,0,0,safe
3524,Kerala,Kozhikode,Mavoor Ii,75.9422,11.25,2023,6.89,153,0.03,6,-,-,0,NaN,0,0,safe
3525,Kerala,Kozhikode,Devarkoil,75.7668,11.6667,2023,6.4,256,0.03,29,-,-,0,NaN,0,0,unsafe
3526,Kerala,Kozhikode,Tikkodi,75.65,11.49,2023,7.29,111,0,9,-,-,0,NaN,0,0,safe
3527,Kerala,Kozhikode,Chemencheri,75.7275,11.4083,2023,7.6,245,0.03,27,-,-,0,NaN,0,0,safe
3528,Kerala,Kozhikode,Quilandy,75.6935,11.4417,2023,7.92,453,0,9,-,-,0,NaN,0,0,safe
3529,Kerala,Kozhikode,Koothali,75.78,11.6024,2023,7.06,57,0.04,4,-,-,0,NaN,0,0,safe
3530,Kerala,Kozhikode,Perambra,75.9416,11.4375,2023,6.72,140,0.08,19,-,-,0,NaN,0,0,safe
3531,Kerala,Kozhikode,Thiruvallur,75.6733,11.57,2023,7.51,118,0.03,7,-,-,0,NaN,0,0,safe
3532,Kerala,Kozhikode,Kayapanachi,75.59,11.7121,2023,6.83,747,0.02,4,-,-,0,NaN,0,0,safe
3533,Kerala,Kozhikode,Nadapuram,75.6666,11.5333,2023,7.26,246,0.03,1,-,-,0,NaN,0,0,safe
3534,Kerala,Kozhikode,Pudukayam,75.7305,11.7436,2023,7.16,66,0.05,4,-,-,0,NaN,0,0,safe
3535,Kerala,Kozhikode,Mukkali,75.5556,11.6708,2023,7.2,145,0.02,6,-,-,0,NaN,0,0,safe
3536,Kerala,Malappuram,Kanjiramukku,75.9667,10.7611,2023,7.6,235,0.01,3,-,-,0,NaN,0,0,safe
3537,Kerala,Malappuram,Perumpadappu,75.9989,10.7028,2023,7.11,150,0.1,19,-,-,0,NaN,0,0,safe
3538,Kerala,Malappuram,Arikode,76.0417,11.2333,2023,7.28,170,0,18,-,-,0,NaN,0,0,safe
3539,Kerala,Malappuram,Kadalundi,76.0833,11.1375,2023,8.07,932,0,3,-,-,0,NaN,0,0,safe
3540,Kerala,Malappuram,Kondotty,75.9625,11.1472,2023,7.4,178,0,11,-,-,0,NaN,0,0,safe
3541,Kerala,Malappuram,Amminikkad,76.0167,10.9333,2023,7.54,517,0.3,76,-,-,0,NaN,0,0,unsafe
3542,Kerala,Malappuram,Kuttipuram,76.0306,10.8458,2023,7.89,405,0.3,25,-,-,0,NaN,0,0,safe
3543,Kerala,Malappuram,Valancheri,76.0741,10.8952,2023,6.95,377,0,24,-,-,0,NaN,0,0,safe
3544,Kerala,Malappuram,Manjeri,76.1208,11.1181,2023,7.38,465,0.2,80,-,-,0,NaN,0,0,unsafe
3545,Kerala,Malappuram,Kuruva,76.1097,10.9764,2023,7.22,112,0.1,9,-,-,0,NaN,0,0,safe
3546,Kerala,Malappuram,Malappuram,76.0906,11.035,2023,7.36,141,0,16,-,-,0,NaN,0,0,safe
3547,Kerala,Malappuram,Pulamanthol,76.1861,10.9056,2023,7.56,339,0.15,27,-,-,0,NaN,0,0,safe
3548,Kerala,Malappuram,Chokkad,76.3333,11.2333,2023,8.38,280,0.1,4,-,-,0,NaN,0,0,safe
3549,Kerala,Malappuram,Chungathara,76.275,11.3333,2023,8.84,707,0.4,28,-,-,0,NaN,0,0,unsafe
3550,Kerala,Malappuram,Kalikavu,76.3208,11.1694,2023,7.12,158,0,15,-,-,0,NaN,0,0,safe
3551,Kerala,Malappuram,Karulai,76.3278,11.2833,2023,7.83,372,0.2,13,-,-,0,NaN,0,0,safe
3552,Kerala,Malappuram,Maruda,76.325,11.4166,2023,7.92,244,0.2,20,-,-,0,NaN,0,0,safe
3553,Kerala,Malappuram,Nilambur,76.24,11.2755,2023,6.77,183,0,35,-,-,0,NaN,0,0,safe
3554,Kerala,Malappuram,Kariavattom,76.23,10.98,2023,7.23,125,0.1,15,-,-,0,NaN,0,0,safe
3555,Kerala,Malappuram,Melattur,76.2667,11.0333,2023,7.78,195,0,11,-,-,0,NaN,0,0,safe
3556,Kerala,Malappuram,Ponnani,75.9205,10.7816,2023,8.28,329,0,5,-,-,0,NaN,0,0,safe
3557,Kerala,Malappuram,Vylattur,75.9444,10.7861,2023,4.23,492,0.01,99,-,-,0,NaN,0,0,unsafe
3558,Kerala,Malappuram,Kottakkal,75.9833,10.9708,2023,7.06,419,0,43,-,-,0,NaN,0,0,safe
3559,Kerala,Malappuram,Tanur,75.875,10.9833,2023,7.48,160,0,13,-,-,0,NaN,0,0,safe
3560,Kerala,Malappuram,Iswaramangalam,75.9167,10.8083,2023,7.78,131,0.3,2,-,-,0,NaN,0,0,safe
3561,Kerala,Malappuram,Mangalam,75.9166,10.85,2023,7.34,511,0.1,42,-,-,0,NaN,0,0,safe
3562,Kerala,Malappuram,Thirunavaya,75.9847,10.8667,2023,7.84,397,0.2,8,-,-,0,NaN,0,0,safe
3563,Kerala,Malappuram,Tirur,75.9208,10.9097,2023,7.34,467,0,37,-,-,0,NaN,0,0,safe
3564,Kerala,Malappuram,Parrappanangadi,75.8597,11.0467,2023,7.63,600,0,40,-,-,0,NaN,0,0,safe
3565,Kerala,Malappuram,Edavanna,76.15,11.2083,2023,7.59,158,0,21,-,-,0,NaN,0,0,safe
3566,Kerala,Malappuram,Thuvur,76.2847,11.1102,2023,7.63,117,0,19,-,-,0,NaN,0,0,safe
3567,Kerala,Palakkad,Athipetta,76.4778,10.6722,2023,8.31,600,0.34,1,-,-,0,NaN,0,0,safe
3568,Kerala,Palakkad,Vadakkancherry,76.4833,10.5889,2023,8.4,602,0.31,19,-,-,0,NaN,0,0,safe
3569,Kerala,Palakkad,Agali,76.64,11.118,2023,8.31,1061,0.71,18,-,-,0,NaN,0,0,safe
3570,Kerala,Palakkad,Chavadiyur,76.6667,11.1575,2023,8.12,853,0.86,33,-,-,0,NaN,0,0,safe
3571,Kerala,Palakkad,Tavalam,76.5866,11.0666,2023,8.04,306,0.4,10,-,-,0,NaN,0,0,safe
3572,Kerala,Palakkad,Gopalapuram,76.8694,10.6861,2023,7.77,960,0.89,134,-,-,0,NaN,0,0,unsafe
3573,Kerala,Palakkad,Kozhinjampara,76.85,10.7333,2023,7.6,680,0.49,5,-,-,0,NaN,0,0,safe
3574,Kerala,Palakkad,Meenakshipuram,76.8628,10.6378,2023,8.37,830,0.34,60,-,-,0,NaN,0,0,unsafe
3575,Kerala,Palakkad,Nadupuni,76.8772,10.7294,2023,7.75,860,2,1,-,-,0,NaN,0,0,unsafe
3576,Kerala,Palakkad,Palghat,76.7722,10.6611,2023,8.73,610,1.38,11,-,-,0,NaN,0,0,unsafe
3577,Kerala,Palakkad,Chemmampathi(Near By Well),76.8319,10.5708,2023,8.43,1500,1.38,37,-,-,0,NaN,0,0,safe
3578,Kerala,Palakkad,Kodavayur,76.65,10.6833,2023,7.83,200,0.62,1,-,-,0,NaN,0,0,safe
3579,Kerala,Palakkad,Kollengode Ii,76.6833,10.6111,2023,8.3,1080,1.23,1,-,-,0,NaN,0,0,safe
3580,Kerala,Palakkad,Meenkara,76.75,10.6083,2023,8.34,710,1,3,-,-,0,NaN,0,0,safe
3581,Kerala,Palakkad,Kuzhalmannam,76.5944,10.71,2023,8.3,767,0.86,3,-,-,0,NaN,0,0,safe
3582,Kerala,Palakkad,Kozhippara,76.8694,10.73,2023,7.8,1160,1.08,9,-,-,0,NaN,0,0,safe
3583,Kerala,Palakkad,Chullimada,76.79,10.81,2023,7.44,250,0.62,1,-,-,0,NaN,0,0,safe
3584,Kerala,Palakkad,Kanjikode,76.75,10.7944,2023,7.35,660,0.69,16,-,-,0,NaN,0,0,safe
3585,Kerala,Palakkad,Alanallur,76.3333,11.0186,2023,6.83,240,0.13,43,-,-,0,NaN,0,0,safe
3586,Kerala,Palakkad,Kalladikode,76.5333,10.8958,2023,6.55,330,0.05,28,-,-,0,NaN,0,0,safe
3587,Kerala,Palakkad,Mannarghat,76.4894,10.9944,2023,7.96,430,0.13,35,-,-,0,NaN,0,0,safe
3588,Kerala,Palakkad,Nenmara,76.6003,10.5939,2023,8.57,294,0.45,13,-,-,0,NaN,0,0,unsafe
3589,Kerala,Palakkad,Mankara,76.475,10.775,2023,8.36,325,0.15,6,-,-,0,NaN,0,0,safe
3590,Kerala,Palakkad,Ottapalam,76.425,10.7667,2023,7.63,354,0.08,7,-,-,0,NaN,0,0,safe
3591,Kerala,Palakkad,Mundur,76.5806,10.8361,2023,7.15,360,0.38,2,-,-,0,NaN,0,0,safe
3592,Kerala,Palakkad,Koppam,76.1875,10.8611,2023,9.85,262,0.04,11,-,-,0,NaN,0,0,unsafe
3593,Kerala,Palakkad,Pattambi,76.1889,10.8042,2023,8.99,304,0.1,8,-,-,0,NaN,0,0,unsafe
3594,Kerala,Palakkad,Shornur,76.2583,10.7708,2023,8.95,430,0.39,0,-,-,0,NaN,0,0,unsafe
3595,Kerala,Palakkad,Cherpulassery,76.325,10.875,2023,9.52,173,0.15,4,-,-,0,NaN,0,0,unsafe
3596,Kerala,Palakkad,Karimpuzha,76.4,10.9042,2023,7.47,89,0.01,1,-,-,0,NaN,0,0,safe
3597,Kerala,Palakkad,Chalisseri,76.0864,10.7328,2023,7.55,163,0.02,16,-,-,0,NaN,0,0,safe
3598,Kerala,Palakkad,Trithala,76.1333,10.8,2023,9.16,397,0.29,0,-,-,0,NaN,0,0,unsafe
3599,Kerala,Pathanamthita,Thelliyur,76.69,9.39,2023,6.4,69,0.1,6,-,-,0,NaN,0,0,unsafe
3600,Kerala,Pathanamthita,Konni,76.85,9.23,2023,6.13,495,0.19,79,-,-,0,NaN,0,0,unsafe
3601,Kerala,Pathanamthita,Naduvathumuzhi,76.92,9.2,2023,6.38,56,0.04,17,-,-,0,NaN,0,0,unsafe
3602,Kerala,Pathanamthita,Pathanamthitta,76.79,9.26,2023,6.79,261,0.1,15,-,-,0,NaN,0,0,safe
3603,Kerala,Pathanamthita,Ullannur,76.6875,9.275,2023,6.63,52,0.1,8,-,-,0,NaN,0,0,safe
3604,Kerala,Pathanamthita,Kaviyur,76.6,9.4,2023,6.56,44,0,4,-,-,0,NaN,0,0,safe
3605,Kerala,Pathanamthita,Kootanadu,76.7333,9.4,2023,6.25,104,0.1,10,-,-,0,NaN,0,0,unsafe
3606,Kerala,Pathanamthita,Mallapally,76.65,9.45,2023,6.18,95,0.06,14,-,-,0,NaN,0,0,unsafe
3607,Kerala,Pathanamthita,Aranmula,76.84,9.33,2023,6.75,214,0.2,21,-,-,0,NaN,0,0,safe
3608,Kerala,Pathanamthita,Pandalam,76.65,9.2375,2023,6.6,72,0.1,5,-,-,0,NaN,0,0,safe
3609,Kerala,Pathanamthita,Angadikkal,76.8,9.2167,2023,6.53,51,0,1,-,-,0,NaN,0,0,safe
3610,Kerala,Pathanamthita,Enathu,76.75,9.08,2023,6.93,475,0.6,49,-,-,0,NaN,0,0,unsafe
3611,Kerala,Pathanamthita,Muthoor,76.55,9.41,2023,6.33,246,0.05,38,-,-,0,NaN,0,0,unsafe
3612,Kerala,Pathanamthita,Peringara,76.5333,9.4,2023,6.82,171,0.3,5,-,-,0,NaN,0,0,safe
3613,Kerala,Pathanamthita,Pulikeezh,76.55,9.35,2023,6.86,118,0.2,3,-,-,0,NaN,0,0,safe
3614,Kerala,Pathanamthita,Nilakkal,77.0133,9.3883,2023,6.28,143,0.1,14,-,-,0,NaN,0,0,unsafe
3615,Kerala,Pathanamthita,Ranni Peruned,76.8556,9.3666,2023,6.57,53,0.05,19,-,-,0,NaN,0,0,safe
3616,Kerala,Pathanamthita,Vadasserikkara,76.84,9.34,2023,6.55,51,0.05,3,-,-,0,NaN,0,0,safe
3617,Kerala,Thrissur,Kallur,76.5,10.3333,2023,7.4,144,0.06,21,-,-,0,NaN,0,0,safe
3618,Kerala,Thrissur,Chalakudy,76.3333,10.2917,2023,6.76,94,0.07,10,-,-,0,NaN,0,0,safe
3619,Kerala,Thrissur,Punnayoor,75.9917,10.6747,2023,7.83,105,0.06,1,-,-,0,NaN,0,0,safe
